fname,labels
015aeac7.wav,"Skateboard,Walk_and_footsteps"
015e1494.wav,"Zipper_(clothing),Sneeze"
01629c63.wav,Raindrop
016380e8.wav,Bark
01652a34.wav,Walk_and_footsteps
01676032.wav,Purr
0168bf88.wav,Crackle
01694099.wav,Harmonica
016c995b.wav,Microwave_oven
016dc25b.wav,Acoustic_guitar
01749ae3.wav,Harmonica
0175f0d5.wav,Zipper_(clothing)
01790380.wav,"Frying_(food),Hiss"
017c8dd1.wav,Electric_guitar
01883a62.wav,Female_singing
018bbf04.wav,"Cupboard_open_or_close,Drawer_open_or_close"
018bd1e2.wav,Squeak
0194d48a.wav,Frying_(food)
01a21197.wav,Trickle_and_dribble
01a66dad.wav,Bus
01a8190e.wav,Gong
01acc75b.wav,Tap
01afbd57.wav,Female_speech_and_woman_speaking
01b1c9a1.wav,Keys_jangling
01b2b6e8.wav,Waves_and_surf
01b9fa1e.wav,Chirp_and_tweet
01c00264.wav,"Cupboard_open_or_close,Knock"
01c0e370.wav,Race_car_and_auto_racing
01c291c1.wav,Stream
01cc2670.wav,Shatter
01cf98ed.wav,Chewing_and_mastication
01da22e9.wav,"Zipper_(clothing),Fart"
01daa2d0.wav,Child_speech_and_kid_speaking
01dcbf94.wav,Slam
01dfd6ac.wav,Race_car_and_auto_racing
01e454e9.wav,Sneeze
01e5d7ca.wav,Hi-hat
01e89bc3.wav,Sigh
01e8d258.wav,Bark
01e95717.wav,Hiss
01f100f1.wav,Mechanical_fan
01f5264a.wav,Chewing_and_mastication
01f7023f.wav,Slam
01f7b121.wav,Clapping
01fb0ef1.wav,Car_passing_by
01fb3073.wav,Bass_drum
01fe9090.wav,Accordion
01ffd3e9.wav,Cutlery_and_silverware
0200b7fb.wav,Scissors
02014dca.wav,Race_car_and_auto_racing
0203a0ce.wav,Crowd
02060d5e.wav,Knock
0208f174.wav,Cricket
020a738e.wav,Printer
020ce2d3.wav,Bark
020d7b69.wav,"Sigh,Slam"
020da61a.wav,Whispering
020dd05c.wav,Traffic_noise_and_roadway_noise
0210129b.wav,"Bass_guitar,Gong"
021058f5.wav,Motorcycle
0211c42c.wav,Bark
0215c0ba.wav,Squeak
02160971.wav,Stream
021698f6.wav,Raindrop
02190215.wav,Bathtub_(filling_or_washing)
021951a2.wav,Female_singing
0219bdf2.wav,Chirp_and_tweet
021a2700.wav,Bass_guitar
021c88ad.wav,Chirp_and_tweet
021e8591.wav,Cheering
0222be7b.wav,"Zipper_(clothing),Fart"
0222d97c.wav,Tap
02232c30.wav,"Dishes_and_pots_and_pans,Cutlery_and_silverware"
0224b716.wav,Strum
02319a7d.wav,Trickle_and_dribble
0232fd7c.wav,Yell
0235d36f.wav,Printer
02383937.wav,Bass_drum
023c8584.wav,Child_speech_and_kid_speaking
023e1460.wav,Applause
0241853e.wav,Motorcycle
02440c14.wav,Male_singing
0248557c.wav,Waves_and_surf
024ad294.wav,Cheering
024cefba.wav,Bark
02511f46.wav,Clapping
02528c44.wav,Yell
0254f68f.wav,Clapping
02585e6e.wav,Slam
025eb162.wav,"Car_passing_by,Race_car_and_auto_racing"
025eface.wav,"Run,Walk_and_footsteps"
025fd17a.wav,Burping_and_eructation
0266221c.wav,Motorcycle
0268d324.wav,Male_speech_and_man_speaking
026b07af.wav,Burping_and_eructation
026b6686.wav,Skateboard
0275871f.wav,Sneeze
0275b0e1.wav,Female_singing
0277dd70.wav,Male_singing
028a8964.wav,Scissors
028abb05.wav,Drawer_open_or_close
028cd525.wav,Zipper_(clothing)
0291704e.wav,"Tick-tock,Acoustic_guitar"
02941554.wav,Traffic_noise_and_roadway_noise
0294a0f7.wav,Toilet_flush
029b9da1.wav,"Bathtub_(filling_or_washing),Drip"
02a61a5a.wav,Cricket
02a62723.wav,Raindrop
02b30618.wav,Frying_(food)
02b59327.wav,Electric_guitar
02b693bd.wav,"Strum,Electric_guitar"
02b76889.wav,Purr
02c9fae6.wav,"Marimba_and_xylophone,Glockenspiel"
02ca4c5e.wav,Cupboard_open_or_close
02ca6017.wav,Church_bell
02cd86b8.wav,Stream
02cf4803.wav,Car_passing_by
02d084b5.wav,Walk_and_footsteps
02d79502.wav,Cheering
02d97142.wav,Race_car_and_auto_racing
02dc3b7c.wav,Shatter
02df08d2.wav,Hi-hat
02e3905f.wav,"Tick-tock,Dishes_and_pots_and_pans"
02e42720.wav,Fart
02e81e02.wav,Buzz
02ecef8b.wav,Bark
02ee3f6a.wav,Skateboard
02f16b99.wav,Purr
02f274b2.wav,"Stream,Trickle_and_dribble"
02f2feff.wav,"Glockenspiel,Electric_guitar"
02f5bb46.wav,Hi-hat
02fcaaa8.wav,Bass_drum
02fd1345.wav,Marimba_and_xylophone
02fdc02f.wav,Gong
02ff07b7.wav,Meow
0300fb73.wav,Squeak
0301ccc1.wav,Stream
03025bbf.wav,Cricket
0304b4ec.wav,Purr
03064845.wav,Purr
0307a216.wav,Tick-tock
030826e0.wav,Keys_jangling
03098965.wav,Sneeze
0309d1c3.wav,Accelerating_and_revving_and_vroom
030d55c7.wav,Gurgling
030f452d.wav,Drip
0315ade3.wav,Female_speech_and_woman_speaking
031731a0.wav,Church_bell
032b89b1.wav,Harmonica
032bdfcd.wav,Church_bell
032f9c3d.wav,Trickle_and_dribble
03451163.wav,Yell
0347715f.wav,"Knock,Slam"
0347ad96.wav,Trickle_and_dribble
0348c2ff.wav,Female_speech_and_woman_speaking
034d4da7.wav,Run
03543d16.wav,Bicycle_bell
0354d512.wav,Shatter
0356a281.wav,"Bicycle_bell,Knock"
0358fe6d.wav,"Marimba_and_xylophone,Glockenspiel"
035a9a77.wav,Motorcycle
035c5faf.wav,Car_passing_by
035dfc7a.wav,Buzz
035e7ba1.wav,"Burping_and_eructation,Toilet_flush"
036061d8.wav,Marimba_and_xylophone
0362dc0a.wav,"Dishes_and_pots_and_pans,Cutlery_and_silverware"
036b8352.wav,Car_passing_by
036ce8a4.wav,Chewing_and_mastication
0371c31e.wav,Bathtub_(filling_or_washing)
0372c79a.wav,Writing
037773dc.wav,Accordion
0379eef6.wav,Bark
037c9925.wav,Bus
037e938d.wav,Shatter
03804bc1.wav,Purr
0382eaeb.wav,Keys_jangling
038372f7.wav,Harmonica
0393f2c4.wav,Printer
039531b0.wav,Screaming
0395a1d4.wav,Zipper_(clothing)
039be574.wav,Fill_(with_liquid)
039cb120.wav,Male_speech_and_man_speaking
039e6349.wav,Traffic_noise_and_roadway_noise
03a305d0.wav,"Strum,Electric_guitar"
03a35bd8.wav,Cheering
03a5c446.wav,Race_car_and_auto_racing
03a95347.wav,Gong
03b0beda.wav,Meow
03b161a0.wav,Gurgling
03b31261.wav,"Strum,Yell"
03b5286e.wav,Female_singing
03b84198.wav,Gurgling
03c47f22.wav,Bass_drum
03c76e43.wav,Screaming
03ca7a58.wav,"Zipper_(clothing),Fart,Finger_snapping,Scissors"
03cb4f0c.wav,"Yell,Female_singing"
03d1fad7.wav,Car_passing_by
03d5e262.wav,Fart
03d6a84e.wav,Raindrop
03da70ad.wav,Waves_and_surf
03dc4c21.wav,Toilet_flush
03dc76f0.wav,"Marimba_and_xylophone,Bass_guitar"
03e1ebee.wav,"Strum,Bass_guitar,Electric_guitar"
03e1fbba.wav,Harmonica
03e59df2.wav,Glockenspiel
03ef2db8.wav,Frying_(food)
03f57250.wav,Trickle_and_dribble
03f89973.wav,Male_speech_and_man_speaking
03fade39.wav,Bass_drum
03ff62f3.wav,Accordion
040106f7.wav,"Finger_snapping,Knock"
04028ccf.wav,Frying_(food)
0402d111.wav,Accelerating_and_revving_and_vroom
04059b5f.wav,Chink_and_clink
0405a778.wav,Female_singing
040969f8.wav,Bicycle_bell
040bc44e.wav,"Strum,Bass_guitar,Electric_guitar"
041507df.wav,"Run,Crackle"
041563e0.wav,Stream
0419c834.wav,Printer
041b848d.wav,Female_speech_and_woman_speaking
041c072c.wav,"Zipper_(clothing),Tap,Cupboard_open_or_close,Knock"
041c7c66.wav,Purr
0427f145.wav,Waves_and_surf
042ea9af.wav,Waves_and_surf
0431784d.wav,Trickle_and_dribble
043d9378.wav,Female_speech_and_woman_speaking
044129f3.wav,Buzz
0441e60a.wav,"Zipper_(clothing),Chewing_and_mastication"
0441f501.wav,Mechanical_fan
0449e897.wav,Gurgling
0449f9f2.wav,Male_singing
044e1431.wav,Church_bell
044ec30f.wav,Bicycle_bell
04526fa1.wav,Tap
045515d0.wav,Purr
045b5c7f.wav,Strum
045d8a2e.wav,Purr
045f71d1.wav,Bass_drum
0461a19d.wav,"Walk_and_footsteps,Crackle"
0462e96d.wav,Mechanical_fan
0464656d.wav,Screaming
04649460.wav,Hi-hat
0467babf.wav,Female_singing
0469495d.wav,Accordion
0469b44a.wav,Trickle_and_dribble
046ac6db.wav,Shatter
04709b68.wav,Bass_guitar
04732466.wav,Motorcycle
04798b8b.wav,Run
047c45b5.wav,Cricket
04818d12.wav,Purr
0484542b.wav,Harmonica
04866d25.wav,Bass_guitar
04876e79.wav,Bicycle_bell
0489406b.wav,Church_bell
0496d9ef.wav,Fart
0498492f.wav,Computer_keyboard
049998bc.wav,Motorcycle
049a13a8.wav,Bark
04a33438.wav,Accordion
04aad166.wav,Drawer_open_or_close
04abd8e6.wav,Whispering
04ae07e8.wav,Child_speech_and_kid_speaking
04b51a2d.wav,Screaming
04b6fbaa.wav,Bicycle_bell
04bf8a7d.wav,Bass_guitar
04c1d7e9.wav,Electric_guitar
04c4f212.wav,Yell
04cb6bca.wav,"Marimba_and_xylophone,Glockenspiel,Applause"
04cffb4e.wav,Meow
04d806ab.wav,Female_speech_and_woman_speaking
04db5445.wav,Bass_drum
04e8a2de.wav,Crackle
04e95321.wav,Car_passing_by
04ebbb4b.wav,"Bass_drum,Hi-hat"
04ecede0.wav,"Bicycle_bell,Church_bell"
04eff593.wav,Whispering
04f2556d.wav,"Zipper_(clothing),Fart"
04f4b208.wav,"Zipper_(clothing),Run,Crackle"
04f5b72e.wav,Zipper_(clothing)
04f8ee2c.wav,Traffic_noise_and_roadway_noise
04f8fba0.wav,Purr
04fa902b.wav,Cupboard_open_or_close
05039472.wav,Slam
05068503.wav,Screaming
05070a0c.wav,Walk_and_footsteps
050bc44a.wav,Gong
050d1441.wav,Acoustic_guitar
0518e2c7.wav,Accelerating_and_revving_and_vroom
051c1a8e.wav,Run
051ec74b.wav,Acoustic_guitar
05221026.wav,Bathtub_(filling_or_washing)
052397e3.wav,Crowd
05256de6.wav,Tick-tock
05279749.wav,Bicycle_bell
0528153a.wav,Fill_(with_liquid)
05297cd6.wav,Frying_(food)
052abea5.wav,Female_singing
052d9c76.wav,Bark
0536920e.wav,"Car_passing_by,Gong"
0536b89a.wav,Microwave_oven
0539d6af.wav,Accordion
053d4191.wav,"Water_tap_and_faucet,Drip,Sink_(filling_or_washing)"
05417d87.wav,Bass_drum
0543a6e5.wav,Hiss
0543d242.wav,Meow
0545d3d2.wav,Church_bell
054bc7bb.wav,"Bathtub_(filling_or_washing),Child_speech_and_kid_speaking"
054ce0f5.wav,Shatter
0550cbc0.wav,Computer_keyboard
05596411.wav,Skateboard
0565d730.wav,"Bark,Frying_(food)"
056781dc.wav,"Cupboard_open_or_close,Drawer_open_or_close"
05695751.wav,Male_singing
057b1c39.wav,Motorcycle
05803edd.wav,"Keys_jangling,Scissors"
05871e79.wav,Yell
058b94ff.wav,"Mechanical_fan,Microwave_oven,Buzz"
058d472b.wav,Cheering
05953840.wav,"Marimba_and_xylophone,Glockenspiel"
05a0723c.wav,Church_bell
05a1aade.wav,Chewing_and_mastication
05a45953.wav,Female_speech_and_woman_speaking
05a75f57.wav,Run
05a847a6.wav,Mechanical_fan
05a96c06.wav,Male_singing
05aa41f6.wav,"Fill_(with_liquid),Computer_keyboard"
05aba413.wav,Bark
05ac1d13.wav,Traffic_noise_and_roadway_noise
05b0470a.wav,"Gasp,Sigh"
05b08d18.wav,Drawer_open_or_close
05b1192f.wav,Slam
05b826a6.wav,Male_speech_and_man_speaking
05bd2f77.wav,Tick-tock
05bf616f.wav,"Glockenspiel,Church_bell"
05c0d32e.wav,Accordion
05c13d98.wav,Glockenspiel
05c26005.wav,Traffic_noise_and_roadway_noise
05c438a2.wav,Bark
05c8d2ae.wav,Bark
05c9a9af.wav,Drip
05c9ef9c.wav,"Purr,Walk_and_footsteps"
05cf1f0e.wav,Male_singing
05d033c5.wav,Printer
05d16c9a.wav,Hiss
05d4d750.wav,"Cupboard_open_or_close,Drawer_open_or_close"
05dbb89d.wav,Slam
05dea461.wav,Female_singing
05e16209.wav,Cheering
05ef31c0.wav,Race_car_and_auto_racing
05f2ce18.wav,"Water_tap_and_faucet,Sink_(filling_or_washing)"
05f6a616.wav,"Hi-hat,Church_bell"
05f6be52.wav,Clapping
05fc0d54.wav,Bicycle_bell
05fcc580.wav,Bicycle_bell
06032ad0.wav,Toilet_flush
06094429.wav,Drawer_open_or_close
060bdd2d.wav,Traffic_noise_and_roadway_noise
060f2b26.wav,Drawer_open_or_close
060fe98e.wav,Bicycle_bell
0611c108.wav,Bus
06173664.wav,Yell
061ca50e.wav,Printer
06205182.wav,Screaming
0623aa68.wav,Bark
06286baf.wav,Bass_drum
062bf28e.wav,"Strum,Electric_guitar"
062e5c0e.wav,Screaming
062ffa56.wav,Cricket
0631b33f.wav,Drip
06354e98.wav,Crowd
06354f7f.wav,Burping_and_eructation
06361bde.wav,Bass_guitar
0637455b.wav,Run
06410e3b.wav,Gong
064ee16b.wav,Writing
0653b6c7.wav,"Strum,Yell,Electric_guitar"
06562b79.wav,Church_bell
065b6607.wav,Buzz
06607da0.wav,Waves_and_surf
06623617.wav,Race_car_and_auto_racing
0662c71f.wav,Electric_guitar
0663531d.wav,Female_singing
06665d41.wav,Knock
0666ca73.wav,Sigh
066905fa.wav,Trickle_and_dribble
066eb2bd.wav,Female_singing
066f178c.wav,Accelerating_and_revving_and_vroom
066f2ac5.wav,Sigh
0681b658.wav,Hi-hat
0682dcf2.wav,Female_singing
06853037.wav,"Skateboard,Slam"
0685d875.wav,Bus
0686f5d6.wav,Strum
068a47fc.wav,Zipper_(clothing)
0697537c.wav,Computer_keyboard
06988dc9.wav,Screaming
0699022f.wav,Bus
06a6c36d.wav,Chink_and_clink
06aa3b9e.wav,"Bass_drum,Hi-hat"
06bd02c6.wav,"Water_tap_and_faucet,Drip,Sink_(filling_or_washing)"
06d4201d.wav,Race_car_and_auto_racing
06dbebb8.wav,Church_bell
06e3bec8.wav,Gurgling
06fd6138.wav,"Car_passing_by,Race_car_and_auto_racing"
06fd9319.wav,Knock
06ffad33.wav,Slam
07010d30.wav,Female_singing
07011d66.wav,Slam
0706482a.wav,Skateboard
070668ad.wav,Accordion
070c143e.wav,Gasp
071372b5.wav,Burping_and_eructation
0713b5e3.wav,Crowd
0714f9cc.wav,Drawer_open_or_close
0722db1b.wav,Buzz
072a301d.wav,Burping_and_eructation
072aee3f.wav,"Water_tap_and_faucet,Trickle_and_dribble,Sink_(filling_or_washing)"
072d7718.wav,Run
072fb05a.wav,"Run,Crackle"
0730b189.wav,Female_speech_and_woman_speaking
07329066.wav,"Child_speech_and_kid_speaking,Burping_and_eructation"
07336c62.wav,Chink_and_clink
073387f1.wav,Toilet_flush
0734eb21.wav,Knock
0739eca2.wav,Tap
07405181.wav,Acoustic_guitar
0740c133.wav,Bus
07433f66.wav,Tap
0747f5dd.wav,Bicycle_bell
074ad126.wav,Zipper_(clothing)
074c9d88.wav,Male_singing
07541ea9.wav,Meow
0759647b.wav,Child_speech_and_kid_speaking
075b7986.wav,Cupboard_open_or_close
075e130b.wav,Burping_and_eructation
075f9b7e.wav,Drawer_open_or_close
0760ec48.wav,"Strum,Electric_guitar"
0762d1df.wav,Run
07647653.wav,"Cupboard_open_or_close,Knock"
076476a5.wav,Whispering
076fc925.wav,Acoustic_guitar
0772d017.wav,Bathtub_(filling_or_washing)
07753843.wav,Electric_guitar
07799d89.wav,Finger_snapping
077b2f81.wav,Whispering
077de00b.wav,Mechanical_fan
077f6568.wav,Cheering
077ffaf8.wav,Female_singing
07807cae.wav,Gurgling
07815357.wav,Walk_and_footsteps
07816285.wav,Raindrop
07842ac6.wav,Race_car_and_auto_racing
07862bb7.wav,Hi-hat
0786b8e1.wav,"Shatter,Skateboard"
079e3393.wav,"Strum,Acoustic_guitar"
079f0bde.wav,"Cheering,Crowd"
07a01c06.wav,Clapping
07a468e2.wav,"Burping_and_eructation,Dishes_and_pots_and_pans,Cutlery_and_silverware"
07a5d2cf.wav,Crowd
07a63191.wav,Crowd
07a7a4c9.wav,"Fill_(with_liquid),Water_tap_and_faucet"
07aae17a.wav,Acoustic_guitar
07ac14c0.wav,Applause
07ad6e46.wav,Electric_guitar
07b3e18b.wav,Accelerating_and_revving_and_vroom
07b45da4.wav,Slam
07c14838.wav,Hi-hat
07c8b3ad.wav,Bathtub_(filling_or_washing)
07cd7608.wav,Meow
07cef73e.wav,Bathtub_(filling_or_washing)
07cfc8b1.wav,Stream
07d209f3.wav,Bark
07e344d4.wav,Crackle
07e8118c.wav,"Cupboard_open_or_close,Finger_snapping,Knock"
07ea1d44.wav,Raindrop
07ea358c.wav,Tap
07ed338b.wav,Buzz
07ef8b36.wav,Motorcycle
07f34e22.wav,Skateboard
07fcc33d.wav,Sigh
07fd2818.wav,Slam
08008f94.wav,Female_speech_and_woman_speaking
0802dac6.wav,Knock
08041907.wav,Child_speech_and_kid_speaking
0807b6ac.wav,Cheering
080d8a74.wav,Harmonica
081066d3.wav,Waves_and_surf
081106df.wav,Cheering
08146fd0.wav,Glockenspiel
081fefc1.wav,Chirp_and_tweet
0822dd23.wav,"Fill_(with_liquid),Chewing_and_mastication"
08231c37.wav,Accordion
0823f688.wav,"Microwave_oven,Gong"
08249573.wav,Cupboard_open_or_close
0825bd14.wav,Hiss
0826bce4.wav,Car_passing_by
082be375.wav,Gurgling
082df423.wav,Applause
083422ec.wav,Knock
0834b4fb.wav,Computer_keyboard
0835eb68.wav,Chewing_and_mastication
0838b0b3.wav,Knock
083bc61a.wav,Bark
083d5f65.wav,Raindrop
0840571d.wav,Hi-hat
0840dd27.wav,Fill_(with_liquid)
0846c82e.wav,Dishes_and_pots_and_pans
08497b81.wav,"Bass_guitar,Gong"
08499bc2.wav,Raindrop
084a028a.wav,Crackle
084ac2dc.wav,Sink_(filling_or_washing)
084c6b10.wav,Fart
08525e7d.wav,"Church_bell,Gong"
08564051.wav,"Dishes_and_pots_and_pans,Cutlery_and_silverware,Chink_and_clink"
085cff18.wav,Car_passing_by
085f75a4.wav,Traffic_noise_and_roadway_noise
0864d90f.wav,Tap
086937b6.wav,"Strum,Electric_guitar"
086b5184.wav,Bathtub_(filling_or_washing)
086c4829.wav,Squeak
086c73c5.wav,Skateboard
086f74b4.wav,Walk_and_footsteps
087327da.wav,Bass_guitar
087a2f52.wav,Zipper_(clothing)
087bc4a8.wav,Traffic_noise_and_roadway_noise
087ce850.wav,"Drip,Chewing_and_mastication"
087de2db.wav,Toilet_flush
087dfc9d.wav,Traffic_noise_and_roadway_noise
0882428c.wav,Finger_snapping
088258ff.wav,"Crackle,Scissors"
0885466e.wav,Buzz
0889d6b9.wav,Cricket
088a9677.wav,Accelerating_and_revving_and_vroom
088ad3f7.wav,Race_car_and_auto_racing
088b2c02.wav,Male_speech_and_man_speaking
088d14f0.wav,"Gasp,Sigh"
088f9a42.wav,Mechanical_fan
0891c46e.wav,Toilet_flush
089453ae.wav,Accordion
0897b1ad.wav,"Hi-hat,Bass_guitar"
0899cd54.wav,Sigh
08a03a87.wav,Frying_(food)
08a0fc80.wav,Whispering
08a7238f.wav,"Writing,Finger_snapping"
08ab4fed.wav,"Race_car_and_auto_racing,Skateboard"
08b30dc5.wav,Crowd
08b34049.wav,Cheering
08b34136.wav,Race_car_and_auto_racing
08b40806.wav,Crowd
08b49ac1.wav,Drip
08b52c2c.wav,Male_speech_and_man_speaking
08b5c0d0.wav,Microwave_oven
08b9fcea.wav,Skateboard
08c1e8ed.wav,Computer_keyboard
08c3906f.wav,Scissors
08c790c8.wav,"Dishes_and_pots_and_pans,Cutlery_and_silverware"
08cb97f5.wav,Cricket
08cbb767.wav,Waves_and_surf
08cbc57e.wav,Female_speech_and_woman_speaking
08cd29c9.wav,"Cupboard_open_or_close,Drawer_open_or_close"
08ce5bc7.wav,Female_speech_and_woman_speaking
08cfc6ec.wav,Printer
08d204ab.wav,Applause
08d3d38e.wav,Tap
08d6545a.wav,Traffic_noise_and_roadway_noise
08d69a95.wav,Slam
08d8148a.wav,Buzz
08d8b492.wav,Scissors
08df9564.wav,Frying_(food)
08e18d31.wav,Bathtub_(filling_or_washing)
08e2f6ee.wav,Crackle
08e4d429.wav,Female_speech_and_woman_speaking
08ed0b9a.wav,Stream
08ee525a.wav,"Gasp,Sigh"
08eeefd7.wav,Zipper_(clothing)
08f07efd.wav,Mechanical_fan
08f0d3be.wav,Tick-tock
08f16571.wav,Yell
08f1e09d.wav,Male_singing
08f3b7fe.wav,Yell
08f509f0.wav,Yell
08fd268d.wav,Acoustic_guitar
08ffe6b9.wav,Stream
0900aa23.wav,Crackle
0902c6fb.wav,Gurgling
0903cf0d.wav,Clapping
090570be.wav,Harmonica
090c3244.wav,Raindrop
090e5128.wav,Screaming
09118e0e.wav,Screaming
0911e3dd.wav,Gurgling
09163594.wav,"Gasp,Sigh"
0917f423.wav,Screaming
091a5058.wav,"Dishes_and_pots_and_pans,Cutlery_and_silverware"
091ab07b.wav,Meow
091d0baa.wav,Waves_and_surf
092123b0.wav,Traffic_noise_and_roadway_noise
09261c0f.wav,"Accordion,Hi-hat"
09339289.wav,Race_car_and_auto_racing
0937b78e.wav,Sigh
093d9a36.wav,"Bathtub_(filling_or_washing),Child_speech_and_kid_speaking"
093e48f7.wav,Bass_guitar
093fb0b6.wav,Bathtub_(filling_or_washing)
0946ff5a.wav,Waves_and_surf
094d7d79.wav,Drawer_open_or_close
094f5d47.wav,Sink_(filling_or_washing)
0950f2f8.wav,Walk_and_footsteps
095180be.wav,Bicycle_bell
09582447.wav,Chirp_and_tweet
09603a8d.wav,Tap
0968c58f.wav,"Water_tap_and_faucet,Sink_(filling_or_washing)"
096927cc.wav,Whispering
0971cba7.wav,Hiss
0972b227.wav,Fart
0974e616.wav,Trickle_and_dribble
097a1c70.wav,Writing
097ed3ee.wav,Hi-hat
09806379.wav,Car_passing_by
09831fe1.wav,Applause
09846b7d.wav,Screaming
098cb319.wav,Accordion
098cc2e2.wav,Bass_drum
09905d63.wav,Skateboard
09957fe0.wav,"Zipper_(clothing),Gasp"
099761fb.wav,"Squeak,Female_singing"
09abf8f8.wav,Accelerating_and_revving_and_vroom
09afa35f.wav,Sigh
09b33498.wav,Screaming
09c39dda.wav,Shatter
09c42425.wav,Tick-tock
09c52e29.wav,Walk_and_footsteps
09dae6a2.wav,Chewing_and_mastication
09dae8c9.wav,"Knock,Slam"
09daeadf.wav,Crowd
09dc4dad.wav,Race_car_and_auto_racing
09dd95ba.wav,Cutlery_and_silverware
09ddea79.wav,Chirp_and_tweet
09e1a4ad.wav,Crackle
09e9f5db.wav,Bus
09ee7a64.wav,Trickle_and_dribble
09f42ecd.wav,Chewing_and_mastication
09f653ec.wav,Glockenspiel
09f81cad.wav,Printer
09fa8469.wav,"Squeak,Burping_and_eructation"
0a002558.wav,Glockenspiel
